tahun,perjamuan,ibadah_1,ibadah_2,ibadah_3,jumlah
2023,JUMAT AGUNG,735,377,,1112
2023,PENGUCAPAN SYUKUR,121,430,367,918
2023,PERJAMUAN KUDUS SEDUNIA,166,367,569,1102
2023,TUTUP TAHUN,121,239,1219,1579
2023,RATA RATA,136,442.75,633,
2024,JUMAT AGUNG,1090,509,,1599
2024,PENGUCAPAN SYUKUR,140,497,507,1004
2024,PERJAMUAN KUDUS SEDUNIA,172,400,540,940
2024,TUTUP TAHUN,318,1240,,1558
2024,RATA RATA,156,576.25,699,
2025,JUMAT AGUNG,209,609,425,1243
2025,PENGUCAPAN SYUKUR,144,350,449,943
2025,PERJAMUAN KUDUS SEDUNIA,262,360,425,1047
2025,TUTUP TAHUN,397,852,,1249
2025,RATA RATA,205,429,537.75,
2026,JUMAT AGUNG,795,521,,1316
2026,PENGUCAPAN SYUKUR,208,300,410,918
2026,PERJAMUAN KUDUS SEDUNIA,0,,,0
2026,TUTUP TAHUN,0,,,0
2026,RATA RATA,208,547.5,465.5,
